id,debt_no,merchant_id,create_by,borrower_id,outer_borrower_id,listing_id,loan_no,outer_loan_no,loan_amt,total_period,period_no,due_date,status,init_principal,init_interest,init_fee_amt,init_amount,owing_principal,owing_interest,owing_fee_amt,owing_penalty_fee,owing_amount,paid_principal,paid_interest,paid_fee_amt,paid_penalty_fee,paid_notify_fee,paid_amount,overdue_day,last_repay_time,last_overdue_updatetime,last_overdue_fmt_time,peak_penalty_fee,peak_notify_fee,compensate_flag,compensate_time,version,isactive,temp1,temp2,temp3,temp4,temp5,temp6,temp7,temp8,temp9,temp10,inserttime,updatetime
,,,,f02e843b-a328-4023-bbbd-7ce075a29bef,,,2.00E+19,,3000,12,6,2020/10/22,1,245.05,56.34,0,301.39,245.05,56.34,0,0,301.39,0,0,0,0,,0,0,NULL,,,,,,,,,,,,,,,,,,,,
,,,,f02e843b-a328-4023-bbbd-7ce075a29bef,,,2.00E+19,,3000,12,8,2020/12/22,1,259.98,41.41,0,301.39,259.98,41.41,0,0,301.39,0,0,0,0,,0,0,NULL,,,,,,,,,,,,,,,,,,,,
,,,,f02e843b-a328-4023-bbbd-7ce075a29bef,,,2.00E+19,,3000,12,5,2020/9/22,1,237.92,63.47,0,301.39,237.92,63.47,0,0,301.39,0,0,0,0,,0,0,NULL,,,,,,,,,,,,,,,,,,,,
,,,,f02e843b-a328-4023-bbbd-7ce075a29bef,,,2.00E+19,,3000,12,11,2021/3/22,1,284.09,17.3,0,301.39,284.09,17.3,0,0,301.39,0,0,0,0,,0,0,NULL,,,,,,,,,,,,,,,,,,,,
,,,,f02e843b-a328-4023-bbbd-7ce075a29bef,,,2.00E+19,,3000,12,9,2021/1/22,1,267.78,33.61,0,301.39,267.78,33.61,0,0,301.39,0,0,0,0,,0,0,NULL,,,,,,,,,,,,,,,,,,,,
,,,,f02e843b-a328-4023-bbbd-7ce075a29bef,,,2.00E+19,,3000,12,4,2020/8/22,1,230.99,70.4,0,301.39,230.99,70.4,0,0,301.39,0,0,0,0,,0,0,NULL,,,,,,,,,,,,,,,,,,,,
,,,,f02e843b-a328-4023-bbbd-7ce075a29bef,,,2.00E+19,,3000,12,2,2020/6/22,1,217.73,83.66,0,301.39,217.73,83.66,0,0,301.39,0,0,0,0,,0,0,NULL,,,,,,,,,,,,,,,,,,,,
,,,,f02e843b-a328-4023-bbbd-7ce075a29bef,,,2.00E+19,,3000,12,1,2020/5/22,2,211.39,90,0,301.39,0,0,0,0,0,211.39,90,0,0,,301.39,0,2020/5/20 20:49,,,,,,,,,,,,,,,,,,,,
,,,,f02e843b-a328-4023-bbbd-7ce075a29bef,,,2.00E+19,,3000,12,3,2020/7/22,1,224.26,77.13,0,301.39,224.26,77.13,0,0,301.39,0,0,0,0,,0,0,NULL,,,,,,,,,,,,,,,,,,,,
,,,,f02e843b-a328-4023-bbbd-7ce075a29bef,,,2.00E+19,,3000,12,12,2021/4/22,1,292.59,8.8,0,301.39,292.59,8.8,0,0,301.39,0,0,0,0,,0,0,NULL,,,,,,,,,,,,,,,,,,,,
